location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Belarus,2020-12-28,Sputnik V,https://www.reuters.com/article/health-coronavirus-russia-belarus-idUSKBN2930P6,0,0,0
Belarus,2021-02-18,Sputnik V,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/,20944,20944,0
Belarus,2021-03-12,Sputnik V,https://eng.belta.by/society/view/minister-belarus-will-step-up-covid-19-vaccination-on-15-march-138165-2021/,30944,20944,10000
Belarus,2021-03-26,Sputnik V,https://eng.belta.by/president/view/vaccination-in-focus-of-lukashenkos-meeting-with-healthcare-minister-138542-2021/,66618,40518,26100
Belarus,2021-04-09,Sputnik V,https://eng.belta.by/society/view/some-92000-belarusians-get-first-dose-of-covid-19-vaccine-138930-2021/,118100,92000,26100
Belarus,2021-04-23,Sputnik V,https://eng.belta.by/society/view/belarus-covid-19-update-1735-new-cases-1733-recoveries-139354-2021/,328500,244000,84500
Belarus,2021-05-07,Sputnik V,https://eng.belta.by/society/view/belarus-to-get-another-batch-of-chinese-covid-19-vaccines-soon-139728-2021/,450000,300000,150000
Belarus,2021-05-23,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,710922,438620,272302
Belarus,2021-05-30,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,796834,517151,279683
Belarus,2021-06-06,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,924926,610988,313938
Belarus,2021-06-13,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,1073282,701183,372099
Belarus,2021-07-18,"Sinopharm/Beijing, Sputnik V",https://www.euro.who.int/en/covid19dashboard,1993857,1240581,753276
Belarus,2021-07-25,"Sinopharm/Beijing, Sputnik V",https://covid19.who.int/,2194993,1334540,860453
