location,date,people_vaccinated_per_hundred
Israel,2020-12-19,0
Israel,2020-12-20,0.08
Israel,2020-12-21,0.35
Israel,2020-12-22,0.83
Israel,2020-12-23,1.51
Israel,2020-12-24,2.3
Israel,2020-12-25,2.71
Israel,2020-12-26,3.06
Israel,2020-12-27,4.19
Israel,2020-12-28,5.64
Israel,2020-12-29,7.32
Israel,2020-12-30,8.97
Israel,2020-12-31,10.68
Israel,2021-01-01,11.45
Israel,2021-01-02,12.22
Israel,2021-01-03,13.83
Israel,2021-01-04,15.47
Israel,2021-01-05,16.81
Israel,2021-01-06,17.93
Israel,2021-01-07,19.18
Israel,2021-01-08,19.89
Israel,2021-01-09,20.37
Israel,2021-01-10,20.77
Israel,2021-01-11,21
Israel,2021-01-12,21.26
Israel,2021-01-13,21.82
Israel,2021-01-14,22.43
Israel,2021-01-15,22.76
Israel,2021-01-16,23.08
Israel,2021-01-17,23.81
Israel,2021-01-18,24.57
Israel,2021-01-19,25.35
Israel,2021-01-20,26.18
Israel,2021-01-21,26.93
Israel,2021-01-22,27.34
Israel,2021-01-23,27.77
Israel,2021-01-24,28.51
Israel,2021-01-25,29.38
Israel,2021-01-26,30.23
Israel,2021-01-27,31.07
Israel,2021-01-28,31.93
Israel,2021-01-29,32.32
Israel,2021-01-30,32.69
Israel,2021-01-31,33.48
Israel,2021-02-01,34.37
Israel,2021-02-02,35.12
Israel,2021-02-03,35.77
Israel,2021-02-04,36.55
Israel,2021-02-05,36.92
Israel,2021-02-06,37.15
Israel,2021-02-07,37.73
Israel,2021-02-08,38.36
Israel,2021-02-09,39.08
Israel,2021-02-10,39.84
Israel,2021-02-11,40.71
Israel,2021-02-12,41.13
Israel,2021-02-13,41.43
Israel,2021-02-14,42.23
Israel,2021-02-15,43.11
Israel,2021-02-16,44.01
Israel,2021-02-17,44.67
Israel,2021-02-18,45.42
Israel,2021-02-19,45.85
Israel,2021-02-20,46.19
Israel,2021-02-21,47.04
Israel,2021-02-22,47.96
Israel,2021-02-23,48.79
Israel,2021-02-24,49.45
Israel,2021-02-25,50
Israel,2021-02-26,50.28
Israel,2021-02-27,50.48
Israel,2021-02-28,50.91
Israel,2021-03-01,51.4
Israel,2021-03-02,51.85
Israel,2021-03-03,52.3
Israel,2021-03-04,52.73
Israel,2021-03-05,52.91
Israel,2021-03-06,53.03
Israel,2021-03-07,53.36
Israel,2021-03-08,53.66
Israel,2021-03-09,53.95
Israel,2021-03-10,54.2
Israel,2021-03-11,54.45
Israel,2021-03-12,54.57
Israel,2021-03-13,54.66
Israel,2021-03-14,54.88
Israel,2021-03-15,55.1
Israel,2021-03-16,55.3
Israel,2021-03-17,55.49
Israel,2021-03-18,55.66
Israel,2021-03-19,55.74
Israel,2021-03-20,55.79
Israel,2021-03-21,55.94
Israel,2021-03-22,56.08
Israel,2021-03-23,56.11
Israel,2021-03-24,56.23
Israel,2021-03-25,56.34
Israel,2021-03-26,56.39
Israel,2021-03-27,56.4
Israel,2021-03-28,56.43
Israel,2021-03-29,56.5
Israel,2021-03-30,56.59
Israel,2021-03-31,56.67
Israel,2021-04-01,56.76
Israel,2021-04-02,56.79
Israel,2021-04-03,56.81
Israel,2021-04-04,56.91
Israel,2021-04-05,57.02
Israel,2021-04-06,57.12
Israel,2021-04-07,57.22
Israel,2021-04-08,57.32
Israel,2021-04-09,57.36
Israel,2021-04-10,57.37
Israel,2021-04-11,57.47
Israel,2021-04-12,57.57
Israel,2021-04-13,57.63
Israel,2021-04-14,57.67
Israel,2021-04-15,57.68
Israel,2021-04-16,57.71
Israel,2021-04-17,57.72
Israel,2021-04-18,57.8
Israel,2021-04-19,57.87
Israel,2021-04-20,57.93
Israel,2021-04-21,58
Israel,2021-04-22,58.07
Israel,2021-04-23,58.1
Israel,2021-04-24,58.1
Israel,2021-04-25,58.16
Israel,2021-04-26,58.22
Israel,2021-04-27,58.26
Israel,2021-04-28,58.31
Israel,2021-04-29,58.36
Israel,2021-04-30,58.38
Israel,2021-05-01,58.38
Israel,2021-05-02,58.42
Israel,2021-05-03,58.46
Israel,2021-05-04,58.5
Israel,2021-05-05,58.53
Israel,2021-05-06,58.57
Israel,2021-05-07,58.59
Israel,2021-05-08,58.59
Israel,2021-05-09,58.62
Israel,2021-05-10,58.65
Israel,2021-05-11,58.68
Israel,2021-05-12,58.7
Israel,2021-05-13,58.73
Israel,2021-05-14,58.74
Israel,2021-05-15,58.74
Israel,2021-05-16,58.74
Israel,2021-05-17,58.75
Israel,2021-05-18,58.77
Israel,2021-05-19,58.79
Israel,2021-05-20,58.82
Israel,2021-05-21,58.83
Israel,2021-05-22,58.83
Israel,2021-05-23,58.86
Israel,2021-05-24,58.88
Israel,2021-05-25,58.9
Israel,2021-05-26,58.91
Israel,2021-05-27,58.93
Israel,2021-05-28,58.94
Israel,2021-05-29,58.94
Israel,2021-05-30,58.96
Israel,2021-05-31,58.98
Israel,2021-06-01,58.99
Israel,2021-06-02,59.01
Israel,2021-06-03,59.03
Israel,2021-06-04,59.04
Israel,2021-06-05,59.04
Israel,2021-06-06,59.09
Israel,2021-06-07,59.14
Israel,2021-06-08,59.18
Israel,2021-06-09,59.21
Israel,2021-06-10,59.25
Israel,2021-06-11,59.26
Israel,2021-06-12,59.27
Israel,2021-06-13,59.3
Israel,2021-06-14,59.33
Israel,2021-06-15,59.37
Israel,2021-06-16,59.4
Israel,2021-06-17,59.43
Israel,2021-06-18,59.44
Israel,2021-06-19,59.44
Israel,2021-06-20,59.48
Israel,2021-06-21,59.53
Israel,2021-06-22,59.61
Israel,2021-06-23,59.72
Israel,2021-06-24,59.85
Israel,2021-06-25,59.93
Israel,2021-06-26,59.95
Israel,2021-06-27,60.1
Israel,2021-06-28,60.26
Israel,2021-06-29,60.44
Israel,2021-06-30,60.61
