location,date,people_vaccinated_per_hundred
Netherlands,2021-01-09,0.2
Netherlands,2021-01-16,0.45
Netherlands,2021-01-23,0.96
Netherlands,2021-01-30,1.75
Netherlands,2021-02-06,2.65
Netherlands,2021-02-13,3.33
Netherlands,2021-02-20,4.2
Netherlands,2021-02-27,5.5
Netherlands,2021-03-06,6.61
Netherlands,2021-03-13,7.61
Netherlands,2021-03-20,8.13
Netherlands,2021-03-27,9.12
Netherlands,2021-04-03,10.94
Netherlands,2021-04-10,13.05
Netherlands,2021-04-17,16.68
Netherlands,2021-04-24,19.93
Netherlands,2021-05-01,23.25
Netherlands,2021-05-08,26.21
Netherlands,2021-05-15,29.79
Netherlands,2021-05-22,33.22
Netherlands,2021-05-29,36.22
Netherlands,2021-06-05,39.63
Netherlands,2021-06-12,45.5
Netherlands,2021-06-19,49.71
Netherlands,2021-06-26,54.36
