location,date,people_vaccinated_per_hundred
Portugal,2021-01-01,0.05
Portugal,2021-01-08,0.84
Portugal,2021-01-15,1.34
Portugal,2021-01-22,2.55
Portugal,2021-01-29,2.97
Portugal,2021-02-05,3.21
Portugal,2021-02-12,3.62
Portugal,2021-02-19,4.65
Portugal,2021-02-26,6.4
Portugal,2021-03-05,7.79
Portugal,2021-03-12,8.76
Portugal,2021-03-19,9.58
Portugal,2021-03-26,12.14
Portugal,2021-04-02,13.52
Portugal,2021-04-09,16.08
Portugal,2021-04-16,20.29
Portugal,2021-04-23,22.39
Portugal,2021-04-30,25.84
Portugal,2021-05-07,29.65
Portugal,2021-05-14,32.7
Portugal,2021-05-21,35.98
Portugal,2021-05-28,38.79
Portugal,2021-06-04,41.65
Portugal,2021-06-11,45.52
Portugal,2021-06-18,49.29
Portugal,2021-06-25,53.48
